,text,favourite_count,retweet_count,created_at,handle
97,Inside the get-rich-quick scheme that cost Amazon sellers thousands   and then got them banned https://t.co/996wEKktf2,3,3,2020-08-21 13:32:06+00:00,@recode
98,"Government shutdowns of  nonessential  retailers were a huge gift for Amazon, Walmart, and Target https://t.co/zJT2LQ7hJY",20,2,2020-08-20 13:52:13+00:00,@recode
99,"Once again, Walmart's counter to Amazon Prime has been delayed. It s unclear whether there s a new internal launch date. https://t.co/qGMxYztgyy",16,7,2020-08-04 20:07:08+00:00,@recode
100,Amazon just posted record sales and profit in the middle of a pandemic https://t.co/k07bgIJBc4,13,10,2020-07-30 23:10:39+00:00,@recode
101,Jeff Bezos s antitrust grilling was a reminder of Amazon s power over its sellers https://t.co/BkDIa0qsdm,12,3,2020-07-30 02:09:26+00:00,@recode
102,Amazon told employees to delete TikTok from their phones over  security risks  https://t.co/zQCvkeFL6t,6,8,2020-07-10 19:54:27+00:00,@recode
103,Walmart s Amazon Prime competitor will launch in July https://t.co/kDX4F1caC1,9,11,2020-07-07 15:32:46+00:00,@recode
104,The real cost of Amazon https://t.co/o4ji04NmDd,11,6,2020-06-29 17:45:53+00:00,@recode
105,"Amazon is one of the richest, most influential companies in the world. Its workers are demanding better pay and labor conditions.

How Amazon responds will impact hundreds of thousands   and set an example for corporations everywhere, for better or worse.
https://t.co/4k4X6xk4Lk",140,64,2020-06-29 13:38:38+00:00,@recode
106,The real cost of Amazon https://t.co/GNDl6Lljbj,14,3,2020-06-29 12:01:24+00:00,@recode
107,Amazon suspends police access to its facial recognition technology. But only for one year. https://t.co/JZZz48j8sZ,11,6,2020-06-10 23:35:15+00:00,@recode
108,Amazon s top lawyer sent a  Black Lives Matter  memo. But he didn t mention his own racial controversy. https://t.co/JL2SMpORvM,5,3,2020-06-04 00:11:42+00:00,@recode
109,Amazon extends bonus pay for frontline workers but says it ends in June https://t.co/lf50kH5eHW,3,4,2020-05-13 16:26:00+00:00,@recode
110,An Amazon VP s resignation shows internal unrest is rising to the top https://t.co/vrVPgFbzN4,15,6,2020-05-04 15:50:41+00:00,@recode
111,"The May Day strike from Amazon, Instacart, and Target workers didn t stop business. It was still a success. https://t.co/8FytB5cJ01",11,4,2020-05-01 22:30:20+00:00,@recode
112,Congress wants Jeff Bezos to testify in Amazon antitrust probe https://t.co/iHDzK8pe58,12,5,2020-05-01 15:38:23+00:00,@recode
113,Jeff Bezos warns that Amazon may lose money despite the pandemic shopping surge https://t.co/OgpDkR1Qmu,11,4,2020-04-30 20:43:54+00:00,@recode
114,Amazon is cracking down on internal communication after a surge in worker activism https://t.co/DDCZJN2qer,6,3,2020-04-29 19:16:55+00:00,@recode
115,Did Amazon lie to Congress? Top antitrust lawmakers want to know. https://t.co/XZ2kPV8qKa,8,2,2020-04-23 22:12:45+00:00,@recode
116,Amazon employees shared an event invite to discuss how the company treats its workers. Then it disappeared. https://t.co/9fPKOyLRbX,8,2,2020-04-23 01:31:53+00:00,@recode
117,"Amazon has been frustrating during the pandemic, but Prime is more popular than ever https://t.co/vPhNegFGSX",6,3,2020-04-22 20:32:39+00:00,@recode
118,Amazon is teasing a new health care offering   for its sellers https://t.co/ELxZ5gcKjz,8,3,2020-04-16 16:46:28+00:00,@recode
119,Amazon fired three employee activists who criticized the company s warehouse safety measures https://t.co/EnnG2XHKgR,14,5,2020-04-14 20:30:32+00:00,@recode
120,Amazon went from convenient to essential during the coronavirus pandemic. At what cost? https://t.co/qM41OLIPuX,9,6,2020-04-10 15:01:08+00:00,@recode
121,Senators are demanding answers from Amazon about how it treats warehouse workers https://t.co/SiWBkdz0QM,7,6,2020-04-08 23:23:15+00:00,@recode
122,Amazon white-collar employees are fuming over management targeting a fired warehouse worker https://t.co/jGQL6y1jWt,8,7,2020-04-05 13:43:06+00:00,@recode
123,Amazon is banning the sale of N95 and surgical masks to the general public https://t.co/4Elt9w7Dss,23,10,2020-04-02 16:09:11+00:00,@recode
124,NYC is investigating Amazon for firing a worker who protested coronavirus working conditions https://t.co/d5Nqruk3HK,18,6,2020-03-31 23:51:49+00:00,@recode
125,Amazon says it unintentionally hid some competitors  faster delivery options https://t.co/FsVBfT1Q0G,6,5,2020-03-27 00:33:22+00:00,@recode
126,Amazon Prime delivery delays are now as long as a month https://t.co/b1rAk6z8F6,14,20,2020-03-23 01:51:20+00:00,@recode
127,An Amazon warehouse worker in NYC has coronavirus. They probably won t be the last. https://t.co/xVZY3zxq75,16,16,2020-03-19 05:22:56+00:00,@recode
